ID,CENTER,FY,SIC,NAICS,STATE,PRODUCTS,EC_plant_cost,EC_plant_usage
NC0259,NC,2003,3080,326111,NC,Vinyl siding,619107,23378544
NC0260,NC,2003,2068,326111,NC,Roasted In-shell Peanuts,46046,1309170
NC0261,NC,2003,3081,326111,NC,Plastic bags and sheeting,1113014,43130720
NC0262,NC,2003,3559,333249,VA,Bimetallic plasticating cylinders,50588,1700600
NC0263,NC,2003,3511,333611,NC,Electric generators,1312466,46665240
NC0264,NC,2003,2321,315210,NC,Men's Dress Shirts,43591,1279260
NC0265,NC,2003,3059,326220,NC,Rubber hoses and products,201096,4788000
NC0266,NC,2003,2657,322212,NC,Paperboard boxes,148583,5393312
NC0267,NC,2003,2299,313310,NC,Velour fabrics for recliners,598291,21956016
NC0268,NC,2003,3444,332322,NC,Accessory products for building industry,228091,4716960
NC0269,NC,2003,3081,326111,NC,Plastic grocery bags and plastic sheeting,867779,32086500
NC0270,NC,2003,2621,322121,NC,recycled paper products,1681194,61061782
NC0271,NC,2003,3566,333612,NC,Power Transmission Components,351701,6923250
NC0272,NC,2003,2369,315210,NC,School uniforms,29068,572200
NC0273,NC,2003,2499,337122,NC,Finished wood cabinet components,65975,1286323
NC0274,NC,2003,2210,313210,SC,woven fabrics,857557,28467236
NC0275,NC,2003,2652,322212,NC,Paperboard beverage cartons,221067,7983477
NC0276,NC,2004,3080,326199,NC,Blow molded plastic products,477382,13183700
NC0277,NC,2004,2842,325612,SC,Clean room cleaning supplies,61149,2492560
NC0278,NC,2004,3272,238120,SC,pre-cast concrete structures,114542,2588109
NC0279,NC,2004,2431,321918,VA,Furniture components,68624,4074000
NC0280,NC,2004,3262,327110,NC,Bone china,484042,11666469
NC0281,NC,2004,2824,325220,NC,Polypropylene yarn,984634,24097737
NC0282,NC,2004,2295,313320,SC,urethane and rubber coated fabrics,292169,11150128
NC0283,NC,2004,2834,325412,NC,Pharmaceutical contrast media,270979,9767003
NC0284,NC,2004,2211,313210,NC,mattress tape and fabric,134596,4653990
NC0285,NC,2004,2258,313310,NC,Fabric for automobiles,290121,8160000
NC0286,NC,2004,3496,333924,NC,Shopping carts,224027,5209920
NC0287,NC,2004,2821,325211,NC,Polyester fiberfill blankets,149745,5178616
NC0288,NC,2004,3452,332722,NC,Rivets and fasteners,122630,4225000
NC0289,NC,2004,2671,322220,SC,Paper packaging materials,65114,2325488
NC0290,NC,2004,3465,336370,NC,Body Panels for Heavy Duty Trucks,506488,19147200
NC0291,NC,2004,2086,312111,NC,cases of bottled soda,194501,6732000
NC0292,NC,2004,2677,322230,VA,Mailing envelopes,89568,5586000
NC0293,NC,2004,2752,323111,VA,Printed catalog inserts,66324,3997200
NC0294,NC,2004,2252,313310,NC,Socks,130746,4609500
NC0295,NC,2004,2252,315110,NC,Socks,158162,5518254
NC0296,NC,2004,3363,331523,NC,Tire molds,204090,6606368
NC0297,NC,2004,3714,336350,NC,CV Joint Forging,579073,15731400
NC0298,NC,2004,2252,315110,NC,Knit hosiery and active wear,94204,2006550
NC0299,NC,2004,3081,326113,NC,plastic bagging and sheeting,268791,10086600
NC0300,NC,2004,2258,313240,NC,Knit elastic fabric,252181,9045360
NC0301,NC,2004,2631,322212,NC,Folding cartons,418824,9894692
NC0302,NC,2004,2011,311611,NC,"Cases of bacon, hams, sausage",781632,21506885
NC0303,NC,2004,3399,331420,NC,Copper and tin powdered metal,267955,9832224
NC0304,NC,2004,2392,313210,NC,Blankets,484336,17887754
NC0305,NC,2004,3052,326220,NC,Fiber reinforced rubber hose,171156,4659100
NC0306,NC,2004,3081,326113,VA,Adhesive tapes,623860,30233088
NC0307,NC,2004,3821,337127,NC,Wooden laboratory cabinets,161309,4135920
NC0308,NC,2005,2657,322212,NC,Cartons for the food industry,226006,8128000
NC0309,NC,2005,3357,335921,NC,Fiber optic cable,309111,10792320
NC0310,NC,2005,3821,337127,NC,Metal cabinets and fume hoods,241964,6203880
NC0311,NC,2005,2514,337124,NC,Bed frames,192056,4251090
NC0312,NC,2005,2033,311421,NC,Cases of fruit juice,69111,1439808
NC0313,NC,2005,3052,326220,NC,Automotive belts,776744,17305728
NC0314,NC,2005,3251,327120,NC,Bricks,190445,3942700
NC0315,NC,2005,3398,332811,NC,heat treated and coated metal parts,41323,1007030
NC0316,NC,2005,3081,326113,VA,Stretch wrap,507468,24634368
NC0317,NC,2005,2426,321918,VA,Engineered hardwood flooring,213082,9565920
NC0318,NC,2005,2420,423310,VA,Rough cut lumber,35042,1525200
NC0319,NC,2005,2281,313110,NC,Yarn for carpets,740407,18104400
NC0320,NC,2005,3053,339991,VA,Gaskets for automobiles,501600,25080000
NC0321,NC,2005,2834,325412,NC,Gelatin capsules for drugs,306186,11031688
NC0322,NC,2005,2671,322211,VA,Interior packaging materials,47002,1498400
NC0323,NC,2005,3670,334419,NC,Electronic data storage units,630281,18188925
NC0324,NC,2005,2512,337121,NC,Upholstered furniture,88210,2147749
NC0325,NC,2005,2211,313210,VA,Dyed yarn,358166,21306698
NC0326,NC,2005,2590,337124,NC,Hammocks,104922,1498798
NC0327,NC,2005,2512,337121,NC,Upholstered chairs,24605,441960
NC0328,NC,2005,2399,322121,NC,Processed cotton fiber,247243,7119907
NC0329,NC,2005,3271,327331,VA,Concrete blocks and ready mix concrete,24397,729672
NC0330,NC,2005,2251,315110,NC,Pantyhose,348951,8231908
NC0331,NC,2006,3449,332312,NC,fabricated metal structures,57841,1509630
NC0332,NC,2006,2834,325412,NC,Pharmaceutical preparations,126358,4555800
NC0333,NC,2006,3585,333415,VA,Heat Exchangers,72150,3607500
NC0334,NC,2006,3690,334514,NC,Industrial controllers and meters,515895,10409500
NC0335,NC,2006,3231,327215,VA,Mirrors,40258,1518000
NC0336,NC,2006,3432,332913,NC,plumbing fixtures,423742,9778000
NC0337,NC,2006,3229,327212,VA,Specialty Glass,441617,26632800
NC0338,NC,2006,3750,336991,SC,ATV,906190,27502794
NC0339,NC,2006,3010,326211,VA,Tires,1434751,85344000
NC0340,NC,2006,2670,322211,VA,Corrugated packing,35007,1600200
NC0341,NC,2006,2670,322211,NC,Corrugated packaging,47277,1174800
NC0342,NC,2006,2252,315110,NC,Ladies hosiery,174273,5721340
NC0343,NC,2006,3299,327992,VA,Aplite,643617,9792838
NC0344,NC,2006,2082,312120,VA,Beer,1589203,39730080
NC0345,NC,2006,2819,325180,SC,Specialty plating chemicals,220134,6543076
NC0346,NC,2006,2657,322212,NC,Coated paper cartons,330590,13212761
NC0347,NC,2006,3714,336390,NC,Automotive catalysts,469472,7079700
NC0348,NC,2006,2869,325199,NC,Industrial chemicals,684847,20493765
NC0349,NC,2006,2657,322212,SC,Corrugated boxes and displays,540618,12286781
NC0350,NC,2006,2869,325199,VA,Monomers and oligomers,349830,11051640
NC0351,NC,2006,2120,312230,NC,Cases of Cigars,51027,1163600
NC0352,NC,2007,3251,327120,NC,Bricks,480953,11078300
NC0353,NC,2007,2259,315190,NC,Knit products,678202,14296000
NC0354,NC,2007,3724,336412,NC,Fuel controls,1189598,20904663
NC0355,NC,2007,3295,212399,NC,Roofing granules,838349,21908923
NC0356,NC,2007,3229,327212,NC,Optical cable,1094586,31734955
NC0357,NC,2007,2284,313310,NC,Texturized yarn,260550,8982580
NC0358,NC,2007,3351,331420,VA,Copper tubing,1851981,44290334
NC0359,NC,2007,3585,333415,VA,Gas fired space heaters,156188,3429939
NC0360,NC,2007,2653,322212,VA,Corrugated board,161829,4903920
NC0361,NC,2007,2851,325510,NC,"Paints, stains, and varnishs",190669,4539750
NC0362,NC,2007,2015,311615,NC,Processed chicken,665912,22049280
NC0363,NC,2007,3713,336211,NC,Fiberglass products for automotive industry,415313,13997600
NC0364,NC,2007,3496,331222,SC,Steel wire,212981,4529712
NC0365,NC,2007,3499,332999,VA,Shopping carts,99824,2047200
NC0366,NC,2007,2052,311821,VA,Cookies and pastas,864241,21581100
NC0367,NC,2007,2511,337122,VA,Furniture,429879,14258000
NC0368,NC,2007,2511,337122,NC,Furniture,843283,18703101
NC0369,NC,2007,3586,333913,NC,Gasoline dispensers,661462,21345000
NC0370,NC,2007,2834,325412,NC,Blood based pharmaceuticals,3159558,87519065
NC0371,NC,2008,3357,335921,NC,Fiber optic cable,656729,22654800
NC0372,NC,2008,2086,312111,SC,Soft drinks,519764,13505930
NC0373,NC,2008,3843,339114,NC,Dental equipment,146564,4926800
NC0374,NC,2008,3231,327215,NC,Replacement automotive windshields,615982,16266400
NC0375,NC,2008,3545,333515,NC,Cutting tools,400563,8958750
NC0376,NC,2008,3272,327390,NC,Fibercement siding,427840,14296800
NC0377,NC,2008,3444,332322,NC,Cabinets for switchgear,183042,5248043
NC0378,NC,2008,3612,335311,VA,Transformers,230925,7813750
NC0379,NC,2008,3554,333243,VA,Rolls for paper industry,93372,3585727
NC0380,NC,2008,3531,333120,NC,Parts for construction equipment,271835,5936625
NC0381,NC,2008,2326,315220,VA,Industrial work clothing,90897,1301477
NC0382,NC,2008,2851,325510,NC,Paints,234133,76860000
NC0383,NC,2008,2869,325199,VA,Specialty chemicals,554374,12526240
NC0384,NC,2008,2671,322211,NC,Corrugated packaging materials,114187,2344708
NC0385,NC,2009,3613,335313,NC,Medium voltage protection equipment,63282,1603032
NC0386,NC,2009,3499,332439,VA,Toothpaste tubes,266875,7743000
NC0387,NC,2009,3822,334512,NC,HVAC Components,379068,7882492
