id,center,fy,sic,naics,state,products,ec_plant_cost,ec_plant_usage
DL0025,DL,2008,2821.0,326199.0,DE,Plastics (Pellets),578543.0,4688510.0
DL0026,DL,2008,3842.0,336411.0,DE,"Protective masks, enclosures, space suits and aerostats",508175.0,4263301.0
DL0027,DL,2008,2752.0,323111.0,MD,Commercial Printing,106884.0,932100.0
DL0028,DL,2008,2834.0,325411.0,DE,Pharmaceutical Preparations,565000.0,4346154.0
DL0029,DL,2008,2095.0,311920.0,MD,roasted coffee,560000.0,4300000.0
DL0030,DL,2008,5051.0,423510.0,MD,metal,134436.0,1109040.0
DL0031,DL,2008,2833.0,325411.0,MD,Nutritional Supplements for animals/humans,540524.0,4342971.0
DL0032,DL,2008,2672.0,322220.0,DE,"Tufftape, Reinforced Carton Sealing Tapes, Box Tapes",178906.0,1858491.0
DL0033,DL,2009,2311.0,315220.0,MD,Menâ€™s Tailored Clothing,232756.0,1709400.0
DL0034,DL,2009,3441.0,332312.0,PA,Metal Vessels,57733.0,352600.0
DL0035,DL,2009,2851.0,325510.0,MD,Paint Manufacturing,1270416.0,13120460.0
DL0036,DL,2009,3991.0,339994.0,MD,brush,141447.0,1207681.0
DL0037,DL,2009,2086.0,312111.0,PA,16 oz. Aquafina Bottled Water,515260.0,6621000.0
DL0038,DL,2009,2711.0,511110.0,MD,Newspapers,207000.0,1500000.0
DL0039,DL,2009,3679.0,334418.0,NJ,Electro Mechanical Assembly,77242.0,625200.0
DL0040,DL,2009,2452.0,321992.0,DE,Prefabricated Houses,78322.0,62902.0
DL0041,DL,2009,3317.0,331210.0,DE,Stainless tubes,840000.0,7500000.0
DL0042,DL,2009,3585.0,423740.0,NJ,Refrigerator,314600.0,2560000.0
DL0043,DL,2009,3432.0,332913.0,DE,plumbing fixtures,105827.0,663920.0
DL0044,DL,2009,3355.0,331318.0,NJ,Metal Light Gauge Rolling,1916740.0,16962305.0
DL0045,DL,2010,2992.0,324191.0,MD,Lubricants,221885.0,1549900.0
DL0046,DL,2010,3069.0,326299.0,MD,Molded Rubber,125455.0,1090486.0
DL0047,DL,2010,3479.0,336413.0,PA,Aircraft Arresting Systems,131606.0,1693212.0
DL0048,DL,2010,3297.0,327120.0,NJ,Aerospace Ceramic Cores,326381.0,2758277.0
DL0049,DL,2010,2851.0,325510.0,DE,Latex Paints,364447.0,4935386.0
DL0050,DL,2010,3444.0,332322.0,MD,Sheet metal manufacturing,67249.0,703120.0
DL0051,DL,2010,2759.0,323113.0,MD,Commercial Printing,231480.0,2547756.0
DL0052,DL,2010,2269.0,313310.0,DE,Polishing products,770578.0,6124800.0
